Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation_date,report_date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
346791,Influenza - Avian,;H5N1 HPAI;,22.211769,-102.335514,Rincón de Romos,Mexico,Americas,,2023-03-02T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
346790,Influenza - Avian,;H5N1 HPAI;,22.116,-102.109,Asientos,Mexico,Americas,,2023-03-02T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
350841,Influenza - Avian,;H5N1 HPAI;,55.889274,14.20293,"Pulken, Yngsjö",Sweden,Europe,2023-03-28T00:00:00Z,2023-04-12T00:00:00Z,"Wild,Barnacle Goose:Branta leucopsis(Anatidae),",OIE,,,Confirmed
352704,Influenza - Avian,;H5N1 HPAI;,56.004995,14.260424,kristianstad,Sweden,Europe,2023-04-07T00:00:00Z,2023-05-08T00:00:00Z,"Wild,White Stork:Ciconia ciconia(Ciconiidae),",OIE,,,Confirmed
350769,Influenza - Avian,;H5N1 HPAI;,55.889274,14.20293,"Pulken, Yngsjö",Sweden,Europe,2023-03-28T00:00:00Z,2023-04-12T00:00:00Z,"Wild,Barnacle Goose:Branta leucopsis(Anatidae),",OIE,,,Confirmed
347557,Influenza - Avian,;H5N5 HPAI;,55.410787,12.852439,Vellinge,Sweden,Europe,2023-02-19T00:00:00Z,2023-03-02T00:00:00Z,"Wild,Barnacle Goose:Branta leucopsis(Anatidae),",OIE,,,Confirmed
346715,Influenza - Avian,;H5N1 HPAI;,55.728367,13.463897,Lund,Sweden,Europe,2023-02-18T00:00:00Z,2023-02-23T00:00:00Z,"Wild,Whooper Swan:Cygnus cygnus(Anatidae),",OIE,,,Confirmed
348906,Influenza - Avian,;H5N1 HPAI;,55.777073,13.012336,Kävlinge,Sweden,Europe,2023-03-20T00:00:00Z,2023-03-22T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
350786,Influenza - Avian,;H5N1 HPAI;,55.889274,14.20293,"Pulken, Yngsjö",Sweden,Europe,2023-03-28T00:00:00Z,2023-04-12T00:00:00Z,"Wild,Barnacle Goose:Branta leucopsis(Anatidae),",OIE,,,Confirmed
349308,Influenza - Avian,;H5N1 HPAI;,49.172808,6.20364,LA MAXE (57452),France,Europe,2023-03-16T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349311,Influenza - Avian,;H5N1 HPAI;,48.909786,6.042629,PONT-À-MOUSSON (54431),France,Europe,2023-03-09T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349301,Influenza - Avian,;H5N1 HPAI;,48.67527,5.895174,TOUL (54528),France,Europe,2023-03-15T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Peregrin falcon:Falco peregrinus(Falconidae),",OIE,,,Confirmed
347176,Influenza - Avian,;H5N1 HPAI;,43.987776,0.805344, Peyrecave (32314) ,France,Europe,2023-02-22T00:00:00Z,2023-02-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
347183,Influenza - Avian,;H5N1 HPAI;,44.006705,0.83799, Mansonville (82102) ,France,Europe,2023-02-16T00:00:00Z,2023-02-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
349325,Influenza - Avian,;H5N1 HPAI;,43.613202,1.431553,TOULOUSE (31555),France,Europe,2023-03-01T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
350817,Influenza - Avian,;HPAI;,-7.306041,109.852467,Jawa Tengah,Indonesia,Asia,,2023-04-13T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
352700,Influenza - Avian,;H5N1 HPAI;,55.876128,26.50734,Daugavpils,Latvia,Europe,2023-05-04T00:00:00Z,2023-05-06T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348947,Influenza - Avian,;H5N1 HPAI;,8.49227,-79.94976,Vistamar,Panama,Americas,2023-03-10T00:00:00Z,2023-03-14T00:00:00Z,"Wild,Brown pelican (Pelecanus occidentalis),",OIE,,,Confirmed
347115,Influenza - Avian,;H5N1 HPAI;,50.635118,2.259152, ThÃ©rouanne (62811) ,France,Europe,2023-02-16T00:00:00Z,2023-02-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
349312,Influenza - Avian,;H5N1 HPAI;,50.799925,2.691315,BOESCHEPE (59086),France,Europe,2023-03-10T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349320,Influenza - Avian,;H5N1 HPAI;,50.345852,3.554664,MARLY (59383),France,Europe,2023-03-09T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
350009,Influenza - Avian,;H5N1 HPAI;,47.07494,-1.680917,Saint-Philbert-de-Grand-Lieu (44188),France,Europe,2023-03-22T00:00:00Z,2023-03-31T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349303,Influenza - Avian,;H5N1 HPAI;,48.156566,-0.387095,ÉVRON (53097),France,Europe,2023-03-14T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349318,Influenza - Avian,;H5N1 HPAI;,48.118545,-0.911551,LE GENEST-SAINT-ISLE (53103),France,Europe,2023-03-03T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349314,Influenza - Avian,;H5N1 HPAI;,48.289444,-0.53759,ARON (53008),France,Europe,2023-03-01T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
350008,Influenza - Avian,;H5N1 HPAI;,48.200224,-0.432795,Mézangers (53153),France,Europe,2023-03-13T00:00:00Z,2023-03-31T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349313,Influenza - Avian,;H5N1 HPAI;,48.237441,-0.50993,JUBLAINS (53122),France,Europe,2023-03-08T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349319,Influenza - Avian,;H5N1 HPAI;,47.86611,-1.057263,LA SELLE-CRAONNAISE (53258),France,Europe,2023-03-04T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349316,Influenza - Avian,;H5N1 HPAI;,47.990279,0.235837,LE MANS (72181),France,Europe,2023-03-07T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349317,Influenza - Avian,;H5N1 HPAI;,48.102139,0.782802,CHANGÉ (53054),France,Europe,2023-03-13T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
351393,Influenza - Avian,;H5N1 HPAI;,50.281664,1.566095,SAINT-QUENTIN-EN-TOURMONT (80713),France,Europe,2023-03-23T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349305,Influenza - Avian,;H5N1 HPAI;,49.840644,4.179023,LEUZE (02425),France,Europe,2023-03-07T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
351215,Influenza - Avian,;H5N1 HPAI;,49.37613,3.325013,SOISSONS (02722),France,Europe,2023-03-27T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349304,Influenza - Avian,;H5N1 HPAI;,49.608229,3.226074,CHAUNY (02173),France,Europe,2023-03-07T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
353164,Influenza - Avian,;H5N1 HPAI;,-2.412129,115.237907,Kalimantan Selatan,Indonesia,Asia,2023-04-05T00:00:00Z,2023-05-12T00:00:00Z,"Domestic,Duck,",OIE,,,Confirmed
352926,Influenza - Avian,;H5N1 HPAI;,55.89364,27.159534,Kraslava,Latvia,Europe,2023-05-08T00:00:00Z,2023-05-11T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
351223,Influenza - Avian,;H5N1 HPAI;,44.903449,4.865644,VALENCE (26362),France,Europe,2023-03-13T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349309,Influenza - Avian,;H5N1 HPAI;,45.980786,5.086397,VERSAILLEUX (01434),France,Europe,2023-03-10T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349302,Influenza - Avian,;H5N1 HPAI;,45.065023,5.707286,CHAMP-SUR-DRAC (38071),France,Europe,2023-03-09T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Mallard:Anas platyrhynchos(Anatidae),",OIE,,,Confirmed
350818,Influenza - Avian,;HPAI;,-4.834193,105.11369,Lampung,Indonesia,Asia,,2023-04-13T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
